Node,Closeness Centrality,Betweenness Centrality,Degree Centrality,PageRank,Hub Score,Authority Score,Eigenvector Centrality
6HObKCGcJkXr84jyo0ZzPp,0.13190963097104746,0.0,8.371002846140967e-05,4.295171590340409e-05,1.9011051736409811e-07,1.9011051736937637e-07,3.559656683030091e-06
2asG9hKxCIfcTnoHGezUW9,0.09167018378544296,0.0,8.371002846140967e-05,4.7365768648828605e-05,7.206469610356197e-12,7.206469693846826e-12,1.291453946125258e-10
2XRVqqdNOt779uXNFA1Fhv,0.14569181047624855,0.00033481208202363407,0.00016742005692281934,6.808418921832025e-05,1.5680940279272488e-06,1.5680940279277542e-06,2.6789558305786985e-05
5IHqlcCbQkyhWl0KmIwgeq,0.18383552368348158,0.0013350270186359406,0.0005859701992298677,0.00014981188771607797,3.4978024768976485e-05,3.497802476897611e-05,0.0006229484221341428
00w9sdZ78mWArooTmiSTld,0.10582732410836095,0.00040417335278564897,0.000251130085384229,0.00010855438906159608,1.343074048519367e-10,1.3430740466434016e-10,2.459117429070064e-09
0ycvq8upLhNmddPdQXhLOy,0.1626456812983335,0.0,8.371002846140967e-05,3.1158499336011255e-05,5.717731209945209e-06,5.717731209945833e-06,0.00010110345231754035
4p992oL7XzVJlpQjiHqNEW,0.13324856110293135,0.0,8.371002846140967e-05,3.489923037700071e-05,4.884255924380053e-07,4.884255924379284e-07,8.413710166504064e-06
1LWj3obp9yBVY3IKyAzqM1,0.14875786065624805,0.0,8.371002846140967e-05,4.007990941219387e-05,1.0339489100469044e-06,1.0339489100469416e-06,1.9065893042787884e-05
79OSA519ScnPY0MVDpu8ZV,0.17233121754183497,3.934274411868152e-06,0.00016742005692281934,4.9532887353896944e-05,5.0790409543049376e-05,5.079040954304812e-05,0.0009458629585596421
3heGIV1KV0B4c4MW7H2mey,0.14829251337562224,0.0003415348581710931,0.000502260170768458,0.00014710711556966313,2.87960143788821e-06,2.8796014378878184e-06,4.890932835782032e-05
0vN8FecyEFbVIlauLaqByt,0.14727783805108985,0.0,0.00016742005692281934,5.242983408804101e-05,3.623209511353084e-06,3.62320951135263e-06,6.877300202642529e-05
5ZNRX9FYoOnTJ9WHtver2H,0.13959195120241183,0.0,8.371002846140967e-05,3.463101456774159e-05,0.0003141053076740232,0.000314105307674024,0.0050380562902334215
2zaAohEL1OxBcYHJvE0HVj,0.14430324700425204,0.0,8.371002846140967e-05,3.995192427650029e-05,5.109578753487864e-07,5.109578753488629e-07,8.854085544972964e-06
5vnNnetO4nM077nufb5KNu,0.14395893085247402,0.0,8.371002846140967e-05,3.2393299688832534e-05,5.774295813903204e-07,5.77429581390496e-07,1.0006999619600322e-05
1qDdupqDqW12se7vP5VD1u,0.16664109252723647,0.0,8.371002846140967e-05,3.059528266881834e-05,1.4532155052427705e-05,1.4532155052428027e-05,0.00025156770657109093
6nzxy2wXs6tLgzEtqOkEi2,0.18526962266784536,0.0017592056816787274,0.0013393604553825547,0.0004025433762414045,0.00016588681015276718,0.0001658868101527668,0.0030710213390911893
4Svhvvg0OdFm6zDqMqlTDN,0.1390703034959662,0.0,0.00016742005692281934,4.856665708650266e-05,0.0009137488167272838,0.0009137488167272843,0.014653845763809462
7CaUk9xCxdXAmmqQn3PLR7,0.1329800852693331,0.0,8.371002846140967e-05,3.9187840513967375e-05,1.401269785944495e-07,1.401269785936697e-07,2.632451719063643e-06
5mC0vGi5lOCqYs53SOojs4,0.11389725792303879,0.0,8.371002846140967e-05,4.740420660612666e-05,3.29350799487098e-09,3.2935079948001176e-09,6.022846687638108e-08
6ilxjacWi9FGJb62MMmfVx,0.1472524221581244,0.0,8.371002846140967e-05,3.447293016256627e-05,8.06065758218144e-07,8.060657582180085e-07,1.4092221394705964e-05
1UAzmnFgjizIDvtHvnCdEq,0.13890697674418603,0.001550980828904141,0.0008371002846140967,0.00032671563730699336,7.889896751706449e-07,7.889896751702869e-07,1.3709071671092816e-05
5qQFXHDOeYjiZVrCUO56Pk,0.16696250122293813,8.00109010773451e-06,0.00016742005692281934,4.874055152800617e-05,1.6297561866077448e-05,1.629756186607698e-05,0.000284550703313381
0noBqdN1IGlVyoYkpd6Vrn,0.1516066805421595,0.0003902742388235743,0.000502260170768458,0.00013493972146288075,8.710208087338355e-07,8.710208087333249e-07,1.498463318799802e-05
